Target,Model,Method,Mean_diff_abs,Var_mean,Std_mean
prgr,GAT,attention,0.3462522823363541,0.0680243583396077,0.25664262771606444
prgr,GAT,gnnexplainer,0.009179246425628618,0.0124193883500993,0.1112222865223884
prgr,GIN,attention,0.0773764491081238,0.050071344897150954,0.2173843279480934
prgr,GIN,gnnexplainer,0.01829571723937995,0.01173885241150855,0.1077470615506172
ptn1,GAT,attention,0.6657241761684418,0.2112694136798382,0.4409931853413581
ptn1,GAT,gnnexplainer,0.01256645321846006,0.01292460374534125,0.11331991702318185
ptn1,GIN,attention,0.024089109897613592,0.44199333563446996,0.6399134963750839
ptn1,GIN,gnnexplainer,0.004515743255615323,0.0136980379931628,0.11684682741761204
pur2,GAT,attention,0.41990919113159164,0.07568150702863925,0.26704239696264265
pur2,GAT,gnnexplainer,0.01866089701652529,0.01308958958834405,0.1142925105988979
pur2,GIN,attention,0.07321246266365045,0.0455207188613712,0.2082434222102165
pur2,GIN,gnnexplainer,0.021804147958755515,0.01350312363356345,0.11604363098740575
pygm,GAT,attention,0.5959504306316374,0.1098066855221986,0.2970401987433433
